"T";"T"; 1173360; 1; 1173360; 1173360; 7169; 0; S; 1; 1
"T";"1814"; 27247; 1; 27247; 27247; 1063; 0; S; 1; 1
"T";"1860"; 26393; 1; 26393; 26393; 1112; 0; S; 1; 1
"T";"1861"; 66086; 1; 66086; 66086; 3279; 0; S; 1; 1
"T";"1862"; 41231; 1; 41231; 41231; 1065; 0; S; 1; 1
"T";"1863"; 34872; 1; 34872; 34872; 1627; 0; S; 1; 1
"T";"1864"; 27319; 1; 27319; 27319; 1969; 0; S; 1; 1
"T";"1880"; 522954; 1; 522954; 522954; 2891; 0; S; 1; 1
"T";"1881"; 84793; 1; 84793; 84793; 2878; 0; S; 1; 1
"T";"1882"; 57126; 1; 57126; 57126; 7169; 0; S; 1; 1
"T";"1883"; 134315; 1; 134315; 134315; 3156; 0; S; 1; 1
"T";"1884"; 49310; 1; 49310; 49310; 2287; 0; S; 1; 1
"T";"1885"; 101714; 1; 101714; 101714; 3196; 0; S; 1; 1
"11";"T"; 66728; 1; 66728; 66728; 1421; 0; S; 1; 1
"11";"1814"; 2114; 1; 2114; 2114; 512; 0; S; 1; 1
"11";"1860"; 1243; 1; 1243; 1243; 222; 0; S; 1; 1
"11";"1861"; 3212; 1; 3212; 3212; 790; 0; S; 1; 1
"11";"1862"; 2484; 1; 2484; 2484; 1065; 0; S; 1; 1
"11";"1863"; 1099; 1; 1099; 1099; 398; 0; S; 1; 1
"11";"1864"; 932; 1; 932; 932; 400; 0; S; 1; 1
"11";"1880"; 31864; 1; 31864; 31864; 1031; 0; S; 1; 1
"11";"1881"; 7219; 1; 7219; 7219; 747; 0; S; 1; 1
"11";"1882"; 2923; 1; 2923; 2923; 357; 0; S; 1; 1
"11";"1883"; 7358; 1; 7358; 7358; 1421; 0; S; 1; 1
"11";"1884"; 1518; 1; 1518; 1518; 236; 0; S; 1; 1
"11";"1885"; 4762; 1; 4762; 4762; 757; 0; S; 1; 1
"12";"T"; 66884; 1; 66884; 66884; 1214; 0; S; 1; 1
"12";"1814"; 1089; 1; 1089; 1089; 160; 0; S; 1; 1
"12";"1860"; 2687; 1; 2687; 2687; 1112; 0; S; 1; 1
"12";"1861"; 2843; 1; 2843; 2843; 277; 0; S; 1; 1
"12";"1862"; 1703; 1; 1703; 1703; 193; 0; S; 1; 1
"12";"1863"; 1547; 1; 1547; 1547; 281; 0; S; 1; 1
"12";"1864"; 1512; 1; 1512; 1512; 794; 0; S; 1; 1
"12";"1880"; 31472; 1; 31472; 31472; 1059; 0; S; 1; 1
"12";"1881"; 5330; 1; 5330; 5330; 707; 0; S; 1; 1
"12";"1882"; 2197; 1; 2197; 2197; 333; 0; S; 1; 1
"12";"1883"; 8739; 1; 8739; 8739; 1214; 0; S; 1; 1
"12";"1884"; 2479; 1; 2479; 2479; 334; 0; S; 1; 1
"12";"1885"; 5286; 1; 5286; 5286; 776; 0; S; 1; 1
"13";"T"; 83763; 1; 83763; 83763; 3156; 0; S; 1; 1
"13";"1814"; 1608; 1; 1608; 1608; 168; 0; S; 1; 1
"13";"1860"; 2402; 1; 2402; 2402; 468; 0; S; 1; 1
"13";"1861"; 4808; 1; 4808; 4808; 459; 0; S; 1; 1
"13";"1862"; 4203; 1; 4203; 4203; 551; 0; S; 1; 1
"13";"1863"; 2046; 1; 2046; 2046; 224; 0; S; 1; 1
"13";"1864"; 3079; 1; 3079; 3079; 1426; 0; S; 1; 1
"13";"1880"; 34600; 1; 34600; 34600; 2891; 0; S; 1; 1
"13";"1881"; 7033; 1; 7033; 7033; 1861; 0; S; 1; 1
"13";"1882"; 2758; 1; 2758; 2758; 297; 0; S; 1; 1
"13";"1883"; 11376; 1; 11376; 11376; 3156; 0; S; 1; 1
"13";"1884"; 2501; 1; 2501; 2501; 262; 0; S; 1; 1
"13";"1885"; 7349; 1; 7349; 7349; 783; 0; S; 1; 1
"14";"T"; 69504; 1; 69504; 69504; 1627; 0; S; 1; 1
"14";"1814"; 1331; 1; 1331; 1331; 213; 0; S; 1; 1
"14";"1860"; 1747; 1; 1747; 1747; 584; 0; S; 1; 1
"14";"1861"; 3562; 1; 3562; 3562; 1094; 0; S; 1; 1
"14";"1862"; 2110; 1; 2110; 2110; 417; 0; S; 1; 1
"14";"1863"; 4154; 1; 4154; 4154; 1627; 0; S; 1; 1
"14";"1864"; 981; 1; 981; 981; 442; 0; S; 1; 1
"14";"1880"; 32145; 1; 32145; 32145; 893; 0; S; 1; 1
"14";"1881"; 4345; 1; 4345; 4345; 913; 0; S; 1; 1
"14";"1882"; 2432; 1; 2432; 2432; 715; 0; S; 1; 1
"14";"1883"; 8131; 1; 8131; 8131; 854; 0; S; 1; 1
"14";"1884"; 2339; 1; 2339; 2339; 364; 0; S; 1; 1
"14";"1885"; 6227; 1; 6227; 6227; 941; 0; S; 1; 1
"15";"T"; 60664; 1; 60664; 60664; 1228; 0; S; 1; 1
"15";"1814"; 797; 1; 797; 797; 122; 0; S; 1; 1
"15";"1860"; 921; 1; 921; 921; 173; 0; S; 1; 1
"15";"1861"; 2545; 1; 2545; 2545; 589; 0; S; 1; 1
"15";"1862"; 1813; 1; 1813; 1813; 458; 0; S; 1; 1
"15";"1863"; 2032; 1; 2032; 2032; 654; 0; S; 1; 1
"15";"1864"; 398; 1; 398; 398; 84; 0; S; 1; 1
"15";"1880"; 38301; 1; 38301; 38301; 1228; 0; S; 1; 1
"15";"1881"; 2005; 1; 2005; 2005; 301; 0; S; 1; 1
"15";"1882"; 1627; 1; 1627; 1627; 229; 0; S; 1; 1
"15";"1883"; 4588; 1; 4588; 4588; 782; 0; S; 1; 1
"15";"1884"; 1132; 1; 1132; 1132; 250; 0; S; 1; 1
"15";"1885"; 4505; 1; 4505; 4505; 474; 0; S; 1; 1
"16";"T"; 62769; 1; 62769; 62769; 1649; 0; S; 1; 1
"16";"1814"; 2227; 1; 2227; 2227; 962; 0; S; 1; 1
"16";"1860"; 1399; 1; 1399; 1399; 802; 0; S; 1; 1
"16";"1861"; 4450; 1; 4450; 4450; 1649; 0; S; 1; 1
"16";"1862"; 989; 1; 989; 989; 232; 0; S; 1; 1
"16";"1863"; 722; 1; 722; 722; 166; 0; S; 1; 1
"16";"1864"; 906; 1; 906; 906; 393; 0; S; 1; 1
"16";"1880"; 32605; 1; 32605; 32605; 925; 0; S; 1; 1
"16";"1881"; 3560; 1; 3560; 3560; 450; 0; S; 1; 1
"16";"1882"; 1613; 1; 1613; 1613; 312; 0; S; 1; 1
"16";"1883"; 8235; 1; 8235; 8235; 1422; 0; S; 1; 1
"16";"1884"; 2361; 1; 2361; 2361; 527; 0; S; 1; 1
"16";"1885"; 3702; 1; 3702; 3702; 777; 0; S; 1; 1
"17";"T"; 75859; 1; 75859; 75859; 3196; 0; S; 1; 1
"17";"1814"; 1881; 1; 1881; 1881; 626; 0; S; 1; 1
"17";"1860"; 1367; 1; 1367; 1367; 321; 0; S; 1; 1
"17";"1861"; 2987; 1; 2987; 2987; 322; 0; S; 1; 1
"17";"1862"; 3832; 1; 3832; 3832; 506; 0; S; 1; 1
"17";"1863"; 1136; 1; 1136; 1136; 132; 0; S; 1; 1
"17";"1864"; 3110; 1; 3110; 3110; 1969; 0; S; 1; 1
"17";"1880"; 36141; 1; 36141; 36141; 1604; 0; S; 1; 1
